Year,PT_EN,PT_FR,Agegroup,Sex,Number,Rate_per_100000,Population
2020,Canada,Canada,10 to 19,Both sexes,219,5.2,"4,174,081"
2020,Canada,Canada,20 to 34,Both sexes,1051,13.5,"7,785,167"
2020,Canada,Canada,35 to 49,Both sexes,1049,14,"7,482,606"
2020,Canada,Canada,50 to 64,Both sexes,1119,14.4,"7,755,831"
2020,Canada,Canada,65 to 79,Both sexes,526,10.2,"5,174,686"
2020,Canada,Canada,80 and older,Both sexes,187,11.2,"1,669,718"
2020,Canada,Canada,10 to 19,Males,133,6.2,"2,130,138"
2020,Canada,Canada,20 to 34,Males,771,19.2,"4,008,973"
2020,Canada,Canada,35 to 49,Males,794,21.3,"3,721,197"
2020,Canada,Canada,50 to 64,Males,856,22.3,"3,843,312"
2020,Canada,Canada,65 to 79,Males,410,16.6,"2,475,932"
2020,Canada,Canada,80 and older,Males,147,21.7,"676,233"
2020,Canada,Canada,10 to 19,Females,86,4.2,"2,043,943"
2020,Canada,Canada,20 to 34,Females,280,7.4,"3,776,194"
2020,Canada,Canada,35 to 49,Females,255,6.8,"3,761,409"
2020,Canada,Canada,50 to 64,Females,263,6.7,"3,912,519"
2020,Canada,Canada,65 to 79,Females,116,4.3,"2,698,754"
2020,Canada,Canada,80 and older,Females,40,4,"993,485"
