Year,PT_EN,PT_FR,Sex,Number,Rate_per_100000
2006,Canada,Canada,Both sexes,3512,10.8
2007,Canada,Canada,Both sexes,3611,11
2008,Canada,Canada,Both sexes,3705,11.1
2009,Canada,Canada,Both sexes,3890,11.5
2010,Canada,Canada,Both sexes,3951,11.6
2011,Canada,Canada,Both sexes,3896,11.3
2012,Canada,Canada,Both sexes,3926,11.3
2013,Canada,Canada,Both sexes,4054,11.5
2014,Canada,Canada,Both sexes,4254,12
2015,Canada,Canada,Both sexes,4405,12.3
2016,Canada,Canada,Both sexes,3978,11
2017,Canada,Canada,Both sexes,4462,12.3
2018,Canada,Canada,Both sexes,4576,12.4
2019,Canada,Canada,Both sexes,4581,12.2
2020,Canada,Canada,Both sexes,4152,10.9
2006,Canada,Canada,Males,2695,17
2007,Canada,Canada,Males,2727,16.9
2008,Canada,Canada,Males,2777,17
2009,Canada,Canada,Males,2989,18.1
2010,Canada,Canada,Males,2981,17.8
2011,Canada,Canada,Males,2910,17.1
2012,Canada,Canada,Males,2972,17.4
2013,Canada,Canada,Males,3041,17.6
2014,Canada,Canada,Males,3159,18.1
2015,Canada,Canada,Males,3269,18.5
2016,Canada,Canada,Males,2939,16.5
2017,Canada,Canada,Males,3325,18.5
2018,Canada,Canada,Males,3444,18.9
2019,Canada,Canada,Males,3481,18.7
2020,Canada,Canada,Males,3112,16.5
2006,Canada,Canada,Females,817,5
2007,Canada,Canada,Females,884,5.3
2008,Canada,Canada,Females,928,5.5
2009,Canada,Canada,Females,901,5.3
2010,Canada,Canada,Females,970,5.7
2011,Canada,Canada,Females,986,5.7
2012,Canada,Canada,Females,954,5.5
2013,Canada,Canada,Females,1013,5.7
2014,Canada,Canada,Females,1095,6.1
2015,Canada,Canada,Females,1136,6.3
2016,Canada,Canada,Females,1039,5.7
2017,Canada,Canada,Females,1137,6.3
2018,Canada,Canada,Females,1132,6.2
2019,Canada,Canada,Females,1100,5.9
2020,Canada,Canada,Females,1040,5.5
